127.0.0.1 - - [21/Jan/2021:15:26:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:41 +0900] "GET /egovframework-all-in-one/ HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:41 +0900] "GET /egovframework-all-in-one/EgovTop.do HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:41 +0900] "GET /egovframework-all-in-one/EgovContent.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/EgovLeft.do HTTP/1.1" 200 42503
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/css/egovframework/com/cmm/main.css HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/EgovBottom.do HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/css/egovframework/com/com.css HTTP/1.1" 200 32527
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/main/top_logo.png HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/uat/uia/egovLoginUsr.do HTTP/1.1" 200 10025
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/css/egovframework/com/com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/css/egovframework/com/uat/uia/login.css HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:42 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/showModalDialog.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:43 +0900] "GET /egovframework-all-in-one/images/egovframework/com/uat/uia/login_tit.png HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:43 +0900] "GET /egovframework-all-in-one/EgovTop.do HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:43 +0900] "GET /egovframework-all-in-one/css/egovframework/com/cmm/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:43 +0900] "GET /egovframework-all-in-one/css/egovframework/com/com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:43 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:43 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/main/top_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/ HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/EgovContent.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/EgovTop.do HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/EgovBottom.do HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/uat/uia/egovLoginUsr.do HTTP/1.1" 200 10025
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/EgovLeft.do HTTP/1.1" 200 42503
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/css/egovframework/com/cmm/main.css HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/css/egovframework/com/com.css HTTP/1.1" 200 32527
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/main/top_logo.png HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/css/egovframework/com/uat/uia/login.css HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/showModalDialog.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/images/egovframework/com/uat/uia/login_tit.png HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /egovframework-all-in-one/EgovTop.do HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:26:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:40 +0900] "POST /egovframework-all-in-one/uat/uia/actionLogin.do HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:42 +0900] "GET /egovframework-all-in-one/EgovTop.do HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:48 +0900] "POST /egovframework-all-in-one/uat/uia/actionLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:48 +0900] "GET /egovframework-all-in-one/EgovContent.do HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:48 +0900] "GET /egovframework-all-in-one/css/egovframework/com/cmm/jqueryui.css HTTP/1.1" 200 36433
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:48 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/jqueryui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:48 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/icon/tit_icon.png HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:48 +0900] "GET /egovframework-all-in-one/EgovTop.do HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:53 +0900] "GET /egovframework-all-in-one/uss/olh/omm/selectOnlineManualList.do HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:54 +0900] "GET /egovframework-all-in-one/uss/olp/cnm/CnsltAnswerListInqire.do HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:55 +0900] "GET /egovframework-all-in-one/uss/olp/qtm/EgovQustnrTmplatManageList.do HTTP/1.1" 200 5376
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:57 +0900] "GET /egovframework-all-in-one/uss/olp/qnn/EgovQustnrRespondInfoManageList.do HTTP/1.1" 200 5035
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:57 +0900] "GET /egovframework-all-in-one/css/egovframework/com/button.css HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:57 +0900] "GET /egovframework-all-in-one/uss/olp/mgt/EgovMeetingManageList.do HTTP/1.1" 200 5362
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:58 +0900] "GET /egovframework-all-in-one/uss/ion/ecc/selectEventCmpgnList.do HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:59 +0900] "GET /egovframework-all-in-one/uss/ion/fbk/facebook.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:27:59 +0900] "GET /egovframework-all-in-one/uss/ion/fbk/facebookSignin.do HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:01 +0900] "GET /egovframework-all-in-one/uss/ion/uas/selectUserAbsnceListView.do HTTP/1.1" 200 7855
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:01 +0900] "GET /egovframework-all-in-one/uss/ion/msi/getMainImageResult.do HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:02 +0900] "GET /egovframework-all-in-one/uss/ion/rsm/listRecentSrchwrd.do HTTP/1.1" 200 6166
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:03 +0900] "GET /egovframework-all-in-one/uss/ion/pwm/listPopup.do HTTP/1.1" 200 7951
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:04 +0900] "GET /egovframework-all-in-one/uss/ion/ntr/listNoteRecptn.do HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:05 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/icon/bu_icon_carlendar.gif HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:06 +0900] "GET /egovframework-all-in-one/uss/ion/ans/selectAnnvrsryManageList.do HTTP/1.1" 200 6009
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:07 +0900] "GET /egovframework-all-in-one/sym/ccm/icr/getInsttCodeRecptnList.do HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:09 +0900] "GET /egovframework-all-in-one/sym/log/tlg/SelectTrsmrcvLogList.do HTTP/1.1" 200 6072
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:09 +0900] "GET /egovframework-all-in-one/js/egovframework/com/sym/cal/EgovCalPopup.js HTTP/1.1" 200 6086
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:09 +0900] "GET /egovframework-all-in-one/sym/ccm/icr/getInsttCodeRecptnList.do HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:10 +0900] "GET /egovframework-all-in-one/sym/ccm/zip/EgovCcmZipList.do HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:13 +0900] "GET /egovframework-all-in-one/sym/ccm/cde/SelectCcmCmmnDetailCodeList.do HTTP/1.1" 200 8282
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:13 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/paging/pagination_next.gif HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:13 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/paging/pagination_first.gif HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:13 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/paging/pagination_prev.gif HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:13 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/paging/pagination_last.gif HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:15 +0900] "GET /egovframework-all-in-one/sym/prm/EgovProgramListManageSelect.do HTTP/1.1" 200 15283
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:17 +0900] "GET /egovframework-all-in-one/sym/sym/srv/selectServerEqpmnList.do HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:17 +0900] "GET /egovframework-all-in-one/sym/sym/bak/getBackupResultList.do HTTP/1.1" 200 9660
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:18 +0900] "GET /egovframework-all-in-one/sym/bat/getBatchResultList.do HTTP/1.1" 200 10678
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:19 +0900] "GET /egovframework-all-in-one/sym/prm/EgovProgramChgHstListSelect.do HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:28:19 +0900] "GET /egovframework-all-in-one/sym/prm/EgovProgramChangeRequstSelect.do HTTP/1.1" 200 4625
